Timestamp,Answer the following question. [Medical education  during M.B.B.S  has great impact on the  personality of medical student .],"Answer the following question. [While studying in medical college , I become emotionally intelligent .]",Answer the following question. [Lots of stress and tension associated with tough medical studies is  experienced during life in medical college],"Answer the following question. [Health issues ,home sickness &  improper routine life pattern are associated with life in hostel of medical college .]","Answer the following question. [Patient care , help the needy and team work learned during medical college life]",Answer the following question. [Parent relationship & bonding with Allah become strong during medical studies],Answer the following question. [Mental health is badly affected during medical studies],"Answer the following question. [Self -Carelessness, addiction of tea and coffee , poor eating habbits , fear of failure are gifts of medical life in medical college]","Answer the following question. [Social work , peer relationship , helping others are developed during medical life in medical college.]",Answer the following question. [My teachers had great influence on my personality],Answer the following question. [Faculty members of medical college guide me a lot regarding studies and my life],Answer the following question. [My life is totally changed after entering in medical college regarding my personality],Answer the following question. [Faculty members of medical college focused on conceptual studies and clinical application of medical knowledge .],Answer the following question. [Some of my teachers are my role model for my medical profession],"Answer the following question. [Medical education in medical college   helped me in becoming  well behaved, stable  and matured personality .]",Answer the following question. [Medical education not only enhanced my medical knowledge but also make be able to become part of  most noble profession .],Answer the following question. [Medical education in medical college polished my personality and now I find myself most respectable family member.],"Answer the following question. [Few faculty members of medical college had point out my bad habbits which was turning point of life, after their counselling now I was able to get rid of that bad habbits .]",Answer the following question. [I feel that medical education have positive impact on my life .],Give your comments regarding influence of medical education on your personality .
2022/12/31 11:38:14 AM GMT+5,SA,SA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,SA,It grooms oneself and makes one emotionally stable and intelligent 
2022/12/31 11:40:17 AM GMT+5,SA,SA,SA,SA,SA,SA,N,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,"It has changed my life. Taught me how to manage things in time , how to overcome my stress and how to cope with toxic environment around me…. It helped me in building my character in the best possible way."
2022/12/31 11:41:07 AM GMT+5,A,A,SA,SA,A,A,A,A,A,SA,A,A,N,A,A,SA,A,N,A,it has great impact on the life of medical students
2022/12/31 11:42:22 AM GMT+5,SA,SA,SA,SA,A,SA,A,A,A,SA,A,A,A,A,A,SA,A,N,A,"During my interaction with different people, I have learned over time to become less emotional while dealing with them and that many things don't require our energy and reactions."
2022/12/31 11:47:04 AM GMT+5,A,SA,SA,SA,A,A,A,SA,DA,A,DA,N,N,A,A,A,N,DA,N,It certainly made me a lot more colder n indifferent in some aspects.. definitely gave me stress regarding an uncertain future and fear of failure..an unstable mentality due to hostel and lack of personal space but also keeps reminding me to be humane towards all kinds of people.. made me mentally durable and made my vision broader in terms of knowledge 
2022/12/31 12:45:18 PM GMT+5,SA,SA,SA,A,A,A,N,A,A,A,SA,SA,A,A,A,A,A,A,SA,Medical education enables you to see the world and life from a different point of view and be understanding and accepting of various views and personalities 
2022/12/31 12:55:12 PM GMT+5,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,SA,A,A,SA,N,N,SA,medical life has svere impact on my life
2022/12/31 1:03:21 PM GMT+5,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,N,A,A,A,A,A,A,N,A,"I think med education has made me more empathetic, going on clinical rounds and taking patients' history made me realize how important it is to LISTEN.
Half the person's worry allay by just being there and listening.
I have learned ""what NOT to say"", believe me it's way more important than ""what to say"".
"
2022/12/31 2:20:01 PM GMT+5,A,DA,SA,SA,N,A,SA,SA,DA,N,N,N,N,N,DA,A,N,N,N,mentally unfit 
2022/12/31 2:25:28 PM GMT+5,A,A,SA,SA,SA,A,A,SA,A,A,A,A,A,A,A,SA,A,N,A,Medical education has its pros and cons. Pros include that through it I am a part of one of the noblest profession in the world. Being able to help the needy and provide services to mankind and being respected anywhere I go. While cons include that there is a lot of pressure of studies all the time. Not being able to attend many things due to exams or classes. Not having enough free time for myself to engage in other outdoor activities often. But everything has it pros and cons and medical education's pros weigh heavier than its cons. Overall medical education has changed my personality and my outlook on life. It has helped me achieve the balance required in my life.
2022/12/31 5:03:58 PM GMT+5,SA,A,SA,SA,SA,SA,SA,SA,SA,A,A,A,A,A,SA,SA,SA,N,A,Should be less stress
2022/12/31 5:49:20 PM GMT+5,SA,A,SA,SA,A,A,SA,SA,A,N,N,N,A,A,A,A,A,A,A,Its good
2022/12/31 5:49:50 PM GMT+5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,No influence 
2022/12/31 5:55:17 PM GMT+5,N,N,SA,N,DA,N,A,SA,A,DA,DA,N,SDA,DA,DA,N,N,DA,DA,It all depends on yourself.If you are open to groom your personality than you will. 
2022/12/31 6:01:42 PM GMT+5,A,A,A,SA,A,SA,SA,A,A,SA,SA,A,A,SA,SA,A,SA,A,SA,It has made me more empathetic towards others
2022/12/31 6:05:38 PM GMT+5,SA,A,A,A,SA,SA,N,SA,A,SA,N,SA,A,A,SA,SA,SA,A,SA,..
2022/12/31 6:09:05 PM GMT+5,A,N,SA,SA,N,A,A,A,A,N,N,A,A,SA,A,SA,A,N,A,There is no as such great influence!..
2022/12/31 6:16:27 PM GMT+5,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,No comments
2022/12/31 6:22:19 PM GMT+5,A,A,A,A,A,A,A,N,A,N,A,A,A,A,A,A,A,A,A,No comment
2022/12/31 6:34:33 PM GMT+5,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,I can feel the positive change
2022/12/31 6:36:34 PM GMT+5,SA,SA,SA,SA,SA,SA,SA,SA,A,A,A,SA,SA,SA,SA,SA,SA,SA,SA,The impact of medical education is awesome on personality 
2022/12/31 6:47:16 PM GMT+5,A,A,A,N,A,N,N,A,SA,A,N,N,A,A,N,N,A,N,N,Has a great impact on personality
2022/12/31 7:14:06 PM GMT+5,SA,SA,A,SA,SA,SA,A,SA,SA,SA,SA,SA,SA,A,A,A,SA,SA,SA,Medical education has a great impact on personality...This profession is quiet sensitive as doctors deal with the lives of mankind...They need to be humble and paitent and had to take decisions wisely...Vast medical knowledge in build all these qualities in medical students ....
2022/12/31 7:20:45 PM GMT+5,SA,A,SA,SA,SA,SA,A,A,A,A,A,A,SA,A,SA,N,N,N,N,"Makes your nerves strong, but only strong people can cope up with such lifestyle "
2022/12/31 7:23:38 PM GMT+5,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,.
2022/12/31 7:30:16 PM GMT+5,A,A,A,A,N,N,A,N,A,N,N,A,N,N,A,N,A,A,N,Sometimes it gives depression and sometimes it is good for health
2022/12/31 7:42:48 PM GMT+5,SA,A,SA,A,SA,SA,A,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,A,A,No comment
2022/12/31 7:47:57 PM GMT+5,SA,A,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Stressful 
2022/12/31 9:10:54 PM GMT+5,SA,A,SA,A,SA,SA,A,SA,A,SA,SA,A,A,SA,A,A,SA,A,SA,. 
2022/12/31 9:13:45 PM GMT+5,SA,A,SA,SA,SA,N,SA,SA,N,SA,SA,SA,A,SA,SA,A,A,SA,SA,There’s a lot of influence of medical education on our personality as it affects your surroundings too. You way of thinking changes totally 
2022/12/31 9:24:00 PM GMT+5,N,SA,A,SA,SA,SA,N,A,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,"Medical education is basically a hard work but when people respect a doctor, it is more than enough for a medical student. "
2022/12/31 10:01:30 PM GMT+5,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,A,A,A,A,SA,SA,N,N,SA,It certainly added value to my life.
2022/12/31 10:06:59 PM GMT+5,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Medical College and education changed overall behaviour and personality 
2022/12/31 10:14:29 PM GMT+5,SA,SA,SA,SA,SA,SA,SA,N,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,You find that Teachers and Professors are like family and Administration is completely opposite 
2022/12/31 10:19:36 PM GMT+5,N,N,SA,SA,N,SA,SA,SA,N,SDA,DA,A,N,A,N,N,N,DA,A,"Medical education itself, in my opinion did little to my change behavior. It was the hostel life and real life experiences in regards to everyday life that taught me more. How people's behavior can effect a person , what response to have in situations was something that i learned after mbbs and it was mostly due to the communication gap i had before due to living with my family and being dependent on them. But at the end of the day, i think if it wasn't for me entering med field, these changes might not have been so evident."
2022/12/31 11:06:29 PM GMT+5,N,DA,SA,A,A,SA,A,SA,N,N,N,A,SA,A,SA,A,A,DA,N,Nothing 
2023/01/01 1:46:03 AM GMT+5,SA,A,SA,DA,A,SA,DA,SA,SA,SA,SA,SA,N,A,A,A,A,N,N,I can’t say for sure but it did change me and how i think about life in general. It was all good and fun till med school. Its alot worse in practical life because there is alot of workload and exhausting duty hours.. wouldn’t recommend anyone to go for this profession. :)
2023/01/01 10:04:43 AM GMT+5,SA,A,SA,A,A,A,A,A,A,A,SA,SA,SA,A,SA,A,SA,N,A,It has a very positive impact on behavior.
