Timestamp,Attempt The Questions. [Q1-Did you feel that counselling and guidance by faculty members improved your academic performance],Attempt The Questions. [Q2-Do you think counselling and guidance by faculty members is required to cope difficult schedule of medical education],Attempt The Questions. [Q3 Did vigilance of faculty members help you in improving attendance % during session],Attempt The Questions. [Q4 Did vigilance of faculty members help you in improving grades during routine module exams],Attempt The Questions. [Q5-Guidance and training  by faculty members  regarding professional written  exam (seq & mcq) and viva helped you a lot],Attempt The Questions. [Q6- Do you think that personal experiences of faculty members( shared with students  regarding studies and exams ) guide you a lot],Attempt The Questions. [Q7-Did counselling  and guidance of faculty member help you regarding  time management],Attempt The Questions. [Q8-Did counselling of faculty member help you in solving your day to day SOCIAL   problems],Attempt The Questions. [Q9- Did counselling of faculty member help you in solving your day to day domestic  problems],Attempt The Questions. [Q10- Did you find your medical teacher guiding you whenever you get detracked in studies],"Attempt The Questions. [Q11 Did  guidance of your teachers  help you in scoring (position, distinction )in professional or module exams]",Attempt The Questions. [Q12-Career Counselling of medical students should be practiced in medical colleges ?],Share Your Experience Regarding Student Counselling As A Supportive Tool.,Give your comments about your perception regarding student counselling as a supportive tool . 
11/19/2022 13:08:57,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,Teachers counseling motivate to study well ,Teachers should give students counseling regarding all aspects in study or in life 
11/19/2022 13:15:11,No,No,No,No,Yes,No,No,No,No,No,No,No,Counselling is just a drama...everyone solves their problem by themselves...counselling is only helpful in behavioral and mental diseases like schizophrenia etc,Students in medicine are mature and usually have ability to solve Thier problems by themselves and not require counselling except some mental and behavioral disorders
11/19/2022 13:26:58,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,,
11/19/2022 13:44:22,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Its quite imp for students ,Its a supportive tool
11/19/2022 14:03:31,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,"I have practically experienced counselling and it was quite helpful in passing the exam. Only a few teachers counsel, others are just for time pass. Teacher should know what being a teacher means. He must do something for the society that generations shall remember. ",Very rare but must be encouraged. 
11/19/2022 14:06:02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
11/19/2022 14:35:30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA
11/19/2022 14:58:04,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Our teachers always support nd guide us about everything regarding our academic course that leads to success at the end of the year.,"students counselling should be mandatory in medical colleges ,it boost up their learning capabilities nd ultimately they become passionate to achieve their respective goals in medical r in their practical life."
11/19/2022 15:24:49,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,It so supportive,
11/19/2022 16:06:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
11/19/2022 16:35:21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,My presence in a medical college is a clear evidence of guidance of my teachers. And in medical college teachers support only few students this is main problem. Guidelines should be for all not for few students. ,"Definitely if someone counsel is supportive. Every student needs , especially for those students whose parents are from different field and no one is here to guide them . It is really painful when a student with parents from a totally different field fails and see those students who are successful just because they have counselor. And this is main reason students move to seniors which shows them experience of just one year instead of going to teacher with a lot of experience."
11/19/2022 16:41:28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,motivation lectures help a lot,focus is the key
11/19/2022 16:42:05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
11/19/2022 16:42:54,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Pretty helpful method ,Good
11/19/2022 16:43:27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
11/19/2022 16:43:30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,,Student counseling specifically career counseling should be introduced as it's an important step and decision to be made in professional life 
11/19/2022 16:43:37,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Explaining students the syllabus important for written exam is important for weak students. Moreover, if they are guided about the way of study in MBBS in start that will make it easy to cop. Teacher should come at student’s level and understand problems faced and coulcel easier ways to him.",
11/19/2022 16:43:46,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,It's very important especially by imparting the skills to the students about time management right diagnosis and how to study instead of just memoirising the whole book which we can't even recall at the end of the year.Efficent counseling by the teachers can help us in this regard. ,I think it's very important and should be considered and applied in Medical School especially during Clinical wards where most of the time we are left on our own to do examination and stuff 
11/19/2022 16:44:56,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes it is . But counselling should be interactive lecture for students,It supports as like students cope with with routine difficulties if they were told a way by the counsellers
11/19/2022 16:47:19,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No such experience ,It is a good initiative 
11/19/2022 16:51:02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
11/19/2022 16:51:06,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,,
11/19/2022 16:52:20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Had no experience,It helps alot in grooming character and professional attitude
11/19/2022 16:54:19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,,
11/19/2022 16:54:24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
11/19/2022 16:55:59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
11/19/2022 17:27:24,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,,
11/19/2022 17:28:24,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,"Counselling should be an integral part of medical education as the medical education has  tough schedule and  many of them are hostellites ,they already suffer a lot..."
11/19/2022 17:49:38,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Keep it up,None
11/19/2022 18:29:45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
11/19/2022 19:50:47,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,My 2 ND year anatomy medul failed but one of teacher guide me than I Obtain 75 out of 100  marks in next test ,Counseling help a lot in proff 
11/19/2022 20:21:54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good,Good
11/20/2022 8:59:17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,,
