Timestamp,Attempt The Questions. [Q1-Did you feel that counselling and guidance by faculty members improved your academic performance],Attempt The Questions. [Q2-Do you think counselling and guidance by faculty members is required to cope difficult schedule of medical education],Attempt The Questions. [Q3 Did vigilance of faculty members help you in improving attendance % during session],Attempt The Questions. [Q4 Did vigilance of faculty members help you in improving grades during routine module exams],Attempt The Questions. [Q5-Guidance and training  by faculty members  regarding professional written  exam (seq & mcq) and viva helped you a lot],Attempt The Questions. [Q6- Do you think that personal experiences of faculty members( shared with students  regarding studies and exams ) guide you a lot],Attempt The Questions. [Q7-Did counselling  and guidance of faculty member help you regarding  time management],Attempt The Questions. [Q8-Did counselling of faculty member help you in solving your day to day SOCIAL   problems],Attempt The Questions. [Q9- Did counselling of faculty member help you in solving your day to day domestic  problems],Attempt The Questions. [Q10- Did you find your medical teacher guiding you whenever you get detracked in studies],"Attempt The Questions. [Q11 Did  guidance of your teachers  help you in scoring (position, distinction )in professional or module exams]",Attempt The Questions. [Q12-Career Counselling of medical students should be practiced in medical colleges ?],Give your comments about your perception regarding student counselling as a supportive tool . 
11/19/2022 11:04:51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11/19/2022 11:16:13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,It is very supportive for students future
11/19/2022 11:17:02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes it is
11/19/2022 11:20:20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Students should be completly told about every little thing because they did not know what to do and near me career counselling is very much important
11/19/2022 11:27:57,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Make students able to make a decision 
11/19/2022 11:28:44,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"It would be benifit in many aspect , for career goals and scoring maximum marks in examinations ."
11/19/2022 11:29:30,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,N/A
11/19/2022 11:34:18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Student counselling is the need of hour in this rapidly evolving community. Students need to have a clear direction and path to compete in the modern world
11/19/2022 11:36:03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Very important and basic need of students.
11/19/2022 11:36:40,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,It's very important for mental health of a student
11/19/2022 11:37:17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,It is so supportive if teachers r polite enough that students can understand
11/19/2022 11:42:41,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Student counselling is one of the major tools that can help students achieve their goals along with how to cope with their day to day problems.
11/19/2022 11:50:54,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,"Being a medical student is often the cause of emotional and mental burnout, imposter syndrome.So counseling is a necessity in med schools in order to provide their students a career path and motivation to follow it on their own pace. "
11/19/2022 11:50:55,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n
11/19/2022 12:00:15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,counselling helps alot to manage the workload of medical studies
11/19/2022 12:06:17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,.
11/19/2022 12:07:54,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Much needed
